CandidateID,Skills,Interests,Hobbies,Work_Style,Career_Goals,Recommended_Career,Career_Category,Intermediate_Path,Salary_PKR_Monthly
138,Unity;Git;API Development;Android Development,Software Development;Programming;Mobile Apps,Solving Puzzles;Participating in Hackathons,Remote work and freelancing,Work remotely and freelance globally;Start a tech startup,Web Developer,IT & Data,ICS (Pre-Engineering),90000
139,Excel;Accounting;Credit Analysis;Portfolio Management,Economics;Finance;Law,Debating;Reading Finance Books,Making financial decisions,Manage large investments;Financial independence and high salary,Financial Analyst,Finance & Commerce,ICOM (Commerce),240000
140,Java;API Development;Docker;Android Development;Flutter,Gadgets;Problem Solving,Participating in Hackathons,Working in teams on tech projects,Work in top global companies,Web Developer,IT & Data,ICS (Pre-Engineering),135000
141,TensorFlow;Database Management;Node.js;Cloud Computing,Cybersecurity;Mobile Apps;Automation,Building PCs;Reading Tech Blogs,Analyzing data and finding patterns,High salary and financial freedom,Software Engineer,IT & Data,ICS (Pre-Engineering),230000
142,HR Management;Recruitment;Agile;Communication,Operations;Team Work,Reading Business Books,Working in a fast-paced environment,Grow professionally in business;Lead a team,HR Manager,Business & Marketing,ICOM (Commerce),130000
143,Pathology;Nutrition;Anatomy;Surgery;Biochemistry,Helping People;Human Body;Nutrition,Reading Medical Journals,Making critical decisions,Do medical research;Work in government hospitals,Dentist,Medical & Health,FSc Pre-Medical,250000
144,Auditing;Stock Market;Budgeting;ACCA,Law;Money Management,Business Case Studies,Working independently on accounts,Achieve professional certification;Become a CA or ACCA qualified,ACCA Accountant,Finance & Commerce,ICOM (Commerce),220000
145,Constitutional Law;Diplomacy;International Relations,Economics;Justice,Reading News,Working with government and institutions,Work in international law,Lawyer,Law & Social Sciences,FA (Arts) or FSc,300000
146,Patient Care;Psychology;Medical Research;Nutrition;Diagnosis,Human Body;Biology;Patient Care,Gardening,Following structured procedures,Do medical research;Job stability and security,Nurse,Medical & Health,FSc Pre-Medical,285000
147,CAD;Civil Design;Site Supervision;3D Modeling;Project Management,Electronics;Innovation;Problem Solving,Visiting Construction Sites;Astronomy,Building and constructing things,Job stability in government;Build infrastructure for Pakistan,Electrical Engineer,Engineering,FSc Pre-Engineering,200000
148,Constitutional Law;Tax Law;Corporate Law;Research Methods,History;Social Issues;Policy Making,Debating,Public speaking and presentations,Work in government sector;Become a senior advocate,Lawyer,Law & Social Sciences,FA (Arts) or FSc,230000
149,Java;Python;AWS;Algorithms,Gaming;Artificial Intelligence,Watching Tech YouTube,Working independently with deadlines,Work remotely and freelance globally,Mobile App Developer,IT & Data,ICS (Pre-Engineering),100000
150,Financial Modeling;Auditing;Taxation;Credit Analysis;ACCA,Money Management;Banking;Business Strategy,Debating,Working with numbers and data,Manage large investments;Start a financial consultancy,ACCA Accountant,Finance & Commerce,ICOM (Commerce),250000
151,Political Science;Foreign Policy;FBR;Contract Law,Social Issues;Policy Making;Justice,Watching Documentaries,Debating and arguing cases,Influence policy making,Lawyer,Law & Social Sciences,FA (Arts) or FSc,245000
152,Climate Analysis;Environmental Science;Research;Teaching,Agriculture;Children,Photography;Watching Documentaries,Community engagement,Work in NGOs and international organizations;Make a difference in society,Environmental Scientist,Education & Media,FA (Arts) or FSc,40000
153,Computer Vision;Machine Learning;Flutter;Git;Deep Learning,Software Development;Gadgets,Building Robots;Reading Tech Blogs,Working in teams on tech projects,Solve real-world tech problems,Data Scientist,IT & Data,ICS (Pre-Engineering),295000
154,Counseling;Surgery;Patient Care;Physiology,Nutrition;Mental Health;Healthcare,Reading Medical Journals,Working directly with people,Job stability and security,Nurse,Medical & Health,FSc Pre-Medical,205000
155,Computer Vision;AWS;Python;Artificial Intelligence;React,Programming;Gadgets;Data Science,Building PCs;Solving Puzzles,Working with computers all day,Achieve financial independence early;Solve real-world tech problems,Data Scientist,IT & Data,ICS (Pre-Engineering),195000
156,JavaScript;Algorithms;Artificial Intelligence,Problem Solving;Gadgets,Watching Tech YouTube;Reading Tech Blogs,Working independently with deadlines,Build innovative products,Game Developer,IT & Data,ICS (Pre-Engineering),180000
157,Climate Analysis;Reporting;Curriculum Development,Communication;Community Service;Children,Community Work,Teaching and explaining concepts,Serve the community through education,Agricultural Officer,Education & Media,FA (Arts) or FSc,55000
158,Wireframing;Premiere Pro;UI Design;Fashion Design;Pattern Making,Colors;Design;Visual Arts,Fashion Styling,Collaborating with clients,Build a design portfolio,Interior Designer,Design & Creative,FA (Arts) or ICS,50000
159,Linux;JavaScript;Flutter,Mobile Apps;Gaming;Research,Math Competitions;Reading Tech Blogs,Solving logical problems,Solve real-world tech problems,Game Developer,IT & Data,ICS (Pre-Engineering),285000
160,Logistics;Project Management;SEO;CRM,Strategy;Business;Marketing,Volunteering,Communicating with different stakeholders,Become a marketing leader,Business Analyst,Business & Marketing,ICOM (Commerce),130000
161,Manufacturing;Architecture Design;Urban Planning;Project Management;Mechanics,Science;Mathematics,Reading Science Magazines;Electronics Tinkering,Using tools and equipment,Contribute to national development,Mechanical Engineer,Engineering,FSc Pre-Engineering,130000
162,NLP;Linux;API Development;Algorithms,Software Development;Programming,Participating in Hackathons;Open Source Contribution,Solving logical problems,High salary and financial freedom;Work in top global companies,Network Engineer,IT & Data,ICS (Pre-Engineering),220000
163,Biology;Counseling;Patient Care;Pathology;Diagnosis,Science;Mental Health,Volunteering at Hospitals,Hands-on practical work,Specialize in medicine;Achieve social respect,Pharmacist,Medical & Health,FSc Pre-Medical,275000
164,Premiere Pro;3D Visualization;Illustrator;After Effects,Colors;Design,Fashion Styling,Flexible working hours,Build a recognizable brand,Interior Designer,Design & Creative,FA (Arts) or ICS,95000
165,Leadership;E-commerce;Supply Chain;SEO,Management;Team Work;Strategy,Sports;Running Social Media Pages,Working with people and clients,Build a brand;High salary in management,Business Analyst,Business & Marketing,ICOM (Commerce),175000
166,Git;Database Management;AWS;React,Gadgets;Research,Participating in Hackathons,Working alone on focused tasks,High salary and financial freedom;Start a tech startup,Mobile App Developer,IT & Data,ICS (Pre-Engineering),290000
167,Market Research;Sales;Agile;Business Strategy,Operations;Sales;Entrepreneurship,Starting Small Businesses,Traveling and networking,Grow professionally in business;Work in corporate sector,HR Manager,Business & Marketing,ICOM (Commerce),95000
168,Writing;Reporting;Research;Content Creation,Children;Community Service,Photography;Reading Books,Working with children and students,Make a difference in society;Contribute to agricultural development,Teacher,Education & Media,FA (Arts) or FSc,115000
169,Database Management;NLP;Artificial Intelligence;Git,Artificial Intelligence;Problem Solving,Solving Puzzles,Working alone on focused tasks,Solve real-world tech problems;Work remotely and freelance globally,Cloud Engineer,IT & Data,ICS (Pre-Engineering),295000
170,TensorFlow;Git;Android Development;React;Linux,Innovation;Problem Solving;Automation,Playing Video Games;Coding Personal Projects,Solving logical problems,Build innovative products,Game Developer,IT & Data,ICS (Pre-Engineering),290000
171,Teaching;Environmental Science;Sustainability,Research;Teaching,Teaching Younger Students;Community Work,Teaching and explaining concepts,Job stability in government;Raise awareness through media,Agricultural Officer,Education & Media,FA (Arts) or FSc,45000
172,Chemistry;Diagnosis;Dentistry,Biology;Wellness;Research,Gardening,Following structured procedures,Work in government hospitals,Pharmacist,Medical & Health,FSc Pre-Medical,185000
173,AWS;Flutter;JavaScript;SQL,Innovation;Gadgets,Reading Tech Blogs,Solving logical problems,Contribute to AI research;Build innovative products,Cybersecurity Analyst,IT & Data,ICS (Pre-Engineering),220000
174,Structural Analysis;MATLAB;Robotics;Civil Design;AutoCAD,Physics;Robotics;Design,Sketching Structures,Working on physical projects,Job stability in government,Civil Engineer,Engineering,FSc Pre-Engineering,175000
175,Research;Soil Science;Crop Science,Broadcasting;Research;Communication,Teaching Younger Students,Conducting research and fieldwork,Job stability in government;Become a respected journalist,Teacher,Education & Media,FA (Arts) or FSc,125000
176,Nutrition;Counseling;Patient Care;Medical Research;Mental Health,Wellness;Community Service,Helping Neighbors,Following structured procedures,Open my own clinic,Doctor (MBBS),Medical & Health,FSc Pre-Medical,280000
177,Medical Research;Microbiology;Surgery;Dentistry;Clinical Skills,Mental Health;Research;Helping People,Animal Care;Reading Biology Books,Working in a team of professionals,Serve the community,Pharmacist,Medical & Health,FSc Pre-Medical,245000
178,Project Management;Power Systems;Electrical Systems;Site Supervision;Circuit Design,Robotics;Physics;Science,DIY Projects;Building Models,Solving technical problems,Contribute to national development;Start my own construction company,Electrical Engineer,Engineering,FSc Pre-Engineering,75000
179,Risk Management;Excel;Investment Analysis,Entrepreneurship;Finance;Investing,Debating,Working under strict deadlines,Start a financial consultancy;Work in government finance departments,Financial Analyst,Finance & Commerce,ICOM (Commerce),85000
180,Sales;Digital Marketing;Market Research;Logistics;SEO,Marketing;Business,Public Speaking,Leading teams and projects,High salary in management,Digital Marketer,Business & Marketing,ICOM (Commerce),165000
181,CAD;Urban Planning;MATLAB,Building Things;Innovation;Physics,Solving Math Problems;Building Models,Working with calculations and designs,Build infrastructure for Pakistan;Start my own construction company,Architect,Engineering,FSc Pre-Engineering,140000
182,Crop Science;Broadcasting;Photography,Journalism;Social Work;Teaching,Volunteering at Schools,Broadcasting and reporting,Job stability in government,Agricultural Officer,Education & Media,FA (Arts) or FSc,120000
183,Foreign Policy;International Relations;Statistics;FBR,Debating;Research;International Affairs,Reading History Books,Research and writing,Become a senior advocate;Influence policy making,Economist,Law & Social Sciences,FA (Arts) or FSc,345000
184,Pattern Making;Sketching;Prototyping,Fashion;Media,Drawing and Sketching;Interior Decoration,Working on aesthetics and visuals,Work as a freelance designer,Interior Designer,Design & Creative,FA (Arts) or ICS,85000
185,Social Media;Negotiation;Content Writing;Communication;Brand Management,Entrepreneurship;Leadership;Strategy,Reading Business Books,Working in a fast-paced environment,Build a brand,HR Manager,Business & Marketing,ICOM (Commerce),145000
186,Investment Analysis;IFRS;Financial Reporting;Financial Modeling;Economics,Investing;Finance,Reading Finance Books;Reading Business News,Office-based desk work,Become a CA or ACCA qualified;Work in banking sector,Banker,Finance & Commerce,ICOM (Commerce),110000
187,Reporting;Public Speaking;Writing;Climate Analysis,Environment;Teaching;Research,Nature Walks,Working outdoors in nature,Serve the community through education;Contribute to agricultural development,Agricultural Officer,Education & Media,FA (Arts) or FSc,45000
188,AutoCAD;3D Modeling;Manufacturing;Urban Planning,Building Things;Robotics,Solving Math Problems,Working in teams on large projects,Contribute to national development,Mechanical Engineer,Engineering,FSc Pre-Engineering,205000
189,Pattern Making;UI Design;Graphic Design,Interior Decoration;Fashion,Drawing and Sketching,Using creative tools and software,Build a design portfolio,Graphic Designer,Design & Creative,FA (Arts) or ICS,130000
190,Patient Care;Nutrition;Biochemistry;Psychology;Pathology,Patient Care;Helping People;Science,Playing Sports,Working in a team of professionals,Serve the community,Nurse,Medical & Health,FSc Pre-Medical,185000
191,Branding;After Effects;Pattern Making,Media;Aesthetics;Storytelling,Photography,Expressing ideas visually,Work in media and advertising;Start a creative agency,Graphic Designer,Design & Creative,FA (Arts) or ICS,130000
192,Thermodynamics;Mechanics;AutoCAD,Machines;Infrastructure;Electronics,Solving Math Problems;Reading Science Magazines,Using tools and equipment,Work abroad in engineering,Architect,Engineering,FSc Pre-Engineering,160000
193,Broadcasting;Communication;Public Speaking;Curriculum Development,Communication;Teaching;Research,Community Work,Working with children and students,Raise awareness through media;Become a respected journalist,Agricultural Officer,Education & Media,FA (Arts) or FSc,125000
194,Corporate Law;Statistics;Drafting,Human Rights;History;Economics,Volunteering,Public speaking and presentations,Work in international law;Become a senior advocate,Lawyer,Law & Social Sciences,FA (Arts) or FSc,260000
195,UI Design;Branding;Photoshop,Fashion;Digital Media;Media,Reading Design Books,Flexible working hours,Build a design portfolio,Interior Designer,Design & Creative,FA (Arts) or ICS,125000
196,Economics;Taxation;Investment Analysis;Corporate Finance,Money Management;Finance,Entrepreneurship Blogs;Playing Chess,Making financial decisions,Work in government finance departments;Start a financial consultancy,Financial Analyst,Finance & Commerce,ICOM (Commerce),250000
197,CA;Stock Market;Banking Operations,Finance;Money Management,Managing Personal Budget;Solving Puzzles,Working independently on accounts,Financial independence and high salary,Banker,Finance & Commerce,ICOM (Commerce),75000
198,Counseling;Diagnosis;Dentistry;Clinical Skills;Patient Care,Biology;Patient Care;Community Service,Reading Biology Books,Making critical decisions,Achieve social respect,Doctor (MBBS),Medical & Health,FSc Pre-Medical,170000
199,Political Science;Constitutional Law;FBR;Corporate Law,Politics;Policy Making,Public Speaking;Community Work,Long hours of reading and research,Pass CSS exams;Achieve justice and fairness,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,195000
200,CAD;MATLAB;Structural Analysis;Robotics;Project Management,Problem Solving;Building Things,Solving Math Problems,Working on physical projects,Contribute to national development;Work on mega projects,Civil Engineer,Engineering,FSc Pre-Engineering,110000
201,Diagnosis;Mental Health;Biochemistry;Counseling;Patient Care,Wellness;Helping People;Nutrition,Meditation,Helping and caring for others,Achieve social respect;Work in government hospitals,Psychologist,Medical & Health,FSc Pre-Medical,175000
202,Robotics;Construction Management;Thermodynamics;CAD,Construction;Design,Electronics Tinkering;Solving Math Problems,Building and constructing things,Start my own construction company,Architect,Engineering,FSc Pre-Engineering,90000
203,Credit Analysis;Risk Management;Banking Operations;Auditing;Taxation,Finance;Banking,Playing Chess;Tracking Stock Markets,Working independently on accounts,Manage large investments,Banker,Finance & Commerce,ICOM (Commerce),95000
204,Foreign Policy;Corporate Law;Policy Analysis,Politics;Debating;Research,Community Work,Analytical and critical thinking,Work in international law;Work in government sector,Economist,Law & Social Sciences,FA (Arts) or FSc,255000
205,Pathology;Biochemistry;Nutrition;Psychology;Medical Research,Patient Care;Science;Nutrition,Reading Medical Journals,Following structured procedures,Job stability and security;Serve the community,Pharmacist,Medical & Health,FSc Pre-Medical,180000
206,Auditing;Stock Market;Taxation;Risk Management,Investing;Numbers,Solving Puzzles,Working under strict deadlines,Start a financial consultancy,Banker,Finance & Commerce,ICOM (Commerce),290000
207,Manufacturing;3D Modeling;Circuit Design;MATLAB,Physics;Electronics,Scale Modelling;Astronomy,Using tools and equipment,Build infrastructure for Pakistan,Mechanical Engineer,Engineering,FSc Pre-Engineering,100000
208,Power Systems;Civil Design;Robotics,Robotics;Construction,Solving Math Problems;Playing with Lego,Building and constructing things,Contribute to national development;Work on mega projects,Electrical Engineer,Engineering,FSc Pre-Engineering,175000
209,CA;Economics;Auditing;Excel,Money Management;Law,Managing Personal Budget;Entrepreneurship Blogs,Working under strict deadlines,Work in government finance departments;Become a CA or ACCA qualified,Chartered Accountant,Finance & Commerce,ICOM (Commerce),285000
210,Stock Market;Excel;Budgeting;Investment Analysis,Banking;Accounting,Tracking Stock Markets;Debating,Analyzing financial reports,Start a financial consultancy,ACCA Accountant,Finance & Commerce,ICOM (Commerce),255000
211,Nutrition;Anatomy;Surgery;Patient Care,Medicine;Community Service,Gardening;Helping Neighbors,Helping and caring for others,Help and save lives;Specialize in medicine,Nurse,Medical & Health,FSc Pre-Medical,210000
212,ERP Systems;Agile;Recruitment;Social Media,Leadership;Entrepreneurship,Writing Blogs,Managing multiple tasks,High salary in management;Work in corporate sector,HR Manager,Business & Marketing,ICOM (Commerce),165000
213,Climate Analysis;Communication;Crop Science,Research;Social Work,Reading Books;Blogging,Community engagement,Become a respected journalist,Journalist,Education & Media,FA (Arts) or FSc,85000
214,Content Writing;Business Strategy;Brand Management,Leadership;Branding;Management,Debating;Running Social Media Pages,Creative and strategic thinking,Work in corporate sector;Start my own business,Digital Marketer,Business & Marketing,ICOM (Commerce),170000
215,Nursing Procedures;Biology;Counseling,Research;Patient Care;Human Body,Reading Medical Journals,Working in a team of professionals,Job stability and security;Work in government hospitals,Dentist,Medical & Health,FSc Pre-Medical,180000
216,Social Media;E-commerce;Negotiation;Recruitment;Leadership,Entrepreneurship;Team Work;People,Debating;Running Social Media Pages,Creative and strategic thinking,Work in top companies;Become a marketing leader,HR Manager,Business & Marketing,ICOM (Commerce),80000
217,HR Management;Communication;Negotiation;CRM,People;Operations,Starting Small Businesses,Traveling and networking,Build a brand;Become a marketing leader,Supply Chain Manager,Business & Marketing,ICOM (Commerce),115000
218,Content Creation;Photography;GIS;Soil Science,Nature;Broadcasting;Teaching,Teaching Younger Students,Teaching and explaining concepts,Raise awareness through media;Make a difference in society,Environmental Scientist,Education & Media,FA (Arts) or FSc,95000
219,Illustrator;Interior Design;Video Editing;Color Theory;3D Visualization,Digital Media;Design;Creativity,Watching Design Videos,Working creatively and freely,Express creativity professionally;Start a creative agency,Graphic Designer,Design & Creative,FA (Arts) or ICS,175000
220,FBR;International Relations;Economics,Justice;Social Issues,Reading History Books,Working with government and institutions,Pass CSS exams;Become a senior advocate,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,210000
221,Financial Reporting;Accounting;Stock Market;Financial Modeling;Budgeting,Business;Business Strategy,Reading Business News,Office-based desk work,Work in government finance departments;Work in banking sector,ACCA Accountant,Finance & Commerce,ICOM (Commerce),140000
222,Agile;CRM;Sales,Management;Strategy,Sports;Watching Entrepreneurship Videos,Communicating with different stakeholders,High salary in management,Business Analyst,Business & Marketing,ICOM (Commerce),165000
223,Banking Operations;Credit Analysis;Taxation;Investment Analysis;Financial Modeling,Investing;Law;Stock Market,Reading Finance Books;Networking Events,Working under strict deadlines,Work in banking sector,Banker,Finance & Commerce,ICOM (Commerce),85000
224,Legal Research;Constitutional Law;SECP Regulations;Policy Analysis,Politics;Government,Reading News;Debating,Working with government and institutions,Influence policy making;Pass CSS exams,Lawyer,Law & Social Sciences,FA (Arts) or FSc,165000
225,Sustainability;Crop Science;Subject Knowledge;Photography,Social Work;Writing,Watching Documentaries,Teaching and explaining concepts,Job stability in government,Environmental Scientist,Education & Media,FA (Arts) or FSc,60000
226,Algorithms;Deep Learning;API Development;Computer Vision,Cloud Technology;Mobile Apps;Automation,Reading Tech Blogs;Participating in Hackathons,Remote work and freelancing,Start a tech startup,Network Engineer,IT & Data,ICS (Pre-Engineering),140000
227,Taxation;Financial Reporting;Financial Modeling;Auditing,Numbers;Finance,Tracking Stock Markets,Analyzing financial reports,Work in government finance departments;Start a financial consultancy,Chartered Accountant,Finance & Commerce,ICOM (Commerce),205000
228,CAD;Circuit Design;Power Systems;MATLAB,Robotics;Construction;Physics,Reading Science Magazines,Working in teams on large projects,High salary in engineering firms,Architect,Engineering,FSc Pre-Engineering,180000
229,Figma;3D Visualization;Pattern Making,Colors;Interior Decoration,Watching Design Videos,Working on aesthetics and visuals,Work in media and advertising;Collaborate with global clients,UX/UI Designer,Design & Creative,FA (Arts) or ICS,130000
230,Accounting;Financial Modeling;Taxation;Budgeting;Investment Analysis,Numbers;Money Management;Investing,Playing Chess;Managing Personal Budget,Working with numbers and data,Manage large investments;Work in government finance departments,Chartered Accountant,Finance & Commerce,ICOM (Commerce),95000
231,Negotiation;CRM;E-commerce,Branding;Team Work;Strategy,Public Speaking,Leading teams and projects,Work in corporate sector,Digital Marketer,Business & Marketing,ICOM (Commerce),185000
232,3D Visualization;UX Research;Video Editing,Creativity;Visual Arts;Colors,DIY Crafts;Video Editing,Working creatively and freely,Start a creative agency,Video Editor,Design & Creative,FA (Arts) or ICS,80000
233,Machine Learning;Android Development;React;Computer Vision,Programming;Software Development;Data Science,Open Source Contribution;Math Competitions,Solving logical problems,Work in top global companies,Network Engineer,IT & Data,ICS (Pre-Engineering),190000
234,Nursing Procedures;Clinical Skills;Physiology;Patient Care;Surgery,Healthcare;Medicine,Playing Sports,Working directly with people,Work in government hospitals;Job stability and security,Nurse,Medical & Health,FSc Pre-Medical,175000
235,Medical Research;Nutrition;Patient Care;Chemistry,Human Body;Science,Reading Medical Journals,Working in a team of professionals,Achieve social respect;Open my own clinic,Dentist,Medical & Health,FSc Pre-Medical,230000
236,HR Management;Agile;Project Management;Communication;E-commerce,People;Leadership;Strategy,Networking,Creative and strategic thinking,Lead a team,Marketing Manager,Business & Marketing,ICOM (Commerce),70000
237,Linux;TensorFlow;JavaScript;Data Analysis,Innovation;Gaming;Software Development,Watching Tech YouTube;Building PCs,Analyzing data and finding patterns,Solve real-world tech problems,Software Engineer,IT & Data,ICS (Pre-Engineering),275000
238,Soil Science;Reporting;Content Creation;Agriculture,Journalism;Nature,Photography;Blogging,Community engagement,Make a difference in society;Serve the community through education,Journalist,Education & Media,FA (Arts) or FSc,55000
239,UI Design;Wireframing;Color Theory;Graphic Design;Prototyping,Storytelling;Colors;Media,Creating Digital Art,Working on design projects independently,Earn through passion,Graphic Designer,Design & Creative,FA (Arts) or ICS,65000
240,Prototyping;Photoshop;Video Editing;UX Research,Visual Arts;Interior Decoration;Colors,Video Editing,Working creatively and freely,Start a creative agency,Interior Designer,Design & Creative,FA (Arts) or ICS,145000
241,Urban Planning;Robotics;AutoCAD;Construction Management;3D Modeling,Building Things;Science;Problem Solving,Scale Modelling;Visiting Construction Sites,Working on physical projects,High salary in engineering firms;Build infrastructure for Pakistan,Civil Engineer,Engineering,FSc Pre-Engineering,100000
242,Mechanics;3D Modeling;Structural Analysis;Construction Management,Robotics;Science,Scale Modelling;Solving Math Problems,Working on physical projects,Contribute to national development;Job stability in government,Electrical Engineer,Engineering,FSc Pre-Engineering,210000
243,Civil Design;Circuit Design;Manufacturing;Project Management;Electrical Systems,Infrastructure;Physics;Construction,Sketching Structures,Building and constructing things,Start my own construction company,Architect,Engineering,FSc Pre-Engineering,155000
244,Legal Research;Tax Law;Research Methods;SECP Regulations;Policy Analysis,History;Justice;Policy Making,Reading News,Long hours of reading and research,Work in government sector;Work in international law,Economist,Law & Social Sciences,FA (Arts) or FSc,360000
245,Thermodynamics;Power Systems;Site Supervision,Innovation;Physics;Infrastructure,DIY Projects;Astronomy,Working with calculations and designs,Work on mega projects,Electrical Engineer,Engineering,FSc Pre-Engineering,180000
246,Branding;Figma;Interior Design,Media;Visual Arts,Fashion Styling;Painting,Using creative tools and software,Start a creative agency;Collaborate with global clients,Fashion Designer,Design & Creative,FA (Arts) or ICS,65000
247,Unity;AWS;Cybersecurity,Programming;Data Science,Reading Tech Blogs;Coding Personal Projects,Building and creating software,Work remotely and freelance globally,Game Developer,IT & Data,ICS (Pre-Engineering),270000
248,SECP Regulations;Political Science;Contract Law;Tax Law,History;Research;Justice,Debating;Watching Documentaries,Working with policies and regulations,Work in government sector;Work in international law,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,400000
249,Surgery;Chemistry;Dentistry,Community Service;Medicine;Research,Meditation;Playing Sports,Following structured procedures,Job stability and security;Achieve social respect,Psychologist,Medical & Health,FSc Pre-Medical,120000
250,First Aid;Chemistry;Physiology,Patient Care;Biology;Community Service,Meditation;Helping Neighbors,Helping and caring for others,Open my own clinic;Work in government hospitals,Doctor (MBBS),Medical & Health,FSc Pre-Medical,80000
251,Java;Data Analysis;API Development;React,Cloud Technology;Research;Cybersecurity,Math Competitions,Working independently with deadlines,High salary and financial freedom;Build innovative products,Network Engineer,IT & Data,ICS (Pre-Engineering),160000
252,Video Editing;Photoshop;Interior Design;Prototyping,Colors;Art,Watching Design Videos;Creating Digital Art,Flexible working hours,Start a creative agency;Build a design portfolio,Fashion Designer,Design & Creative,FA (Arts) or ICS,145000
253,Urban Planning;Thermodynamics;MATLAB;Robotics,Construction;Electronics;Science,Electronics Tinkering;Reading Science Magazines,Working in teams on large projects,Job stability in government,Mechanical Engineer,Engineering,FSc Pre-Engineering,125000
254,Subject Knowledge;Curriculum Development;Agriculture;Content Creation;Teaching,Writing;Teaching,Reading Books;Gardening,Flexible and creative work environment,Serve the community through education;Become a respected journalist,Journalist,Education & Media,FA (Arts) or FSc,40000
255,Communication;Market Research;Recruitment;Digital Marketing;Negotiation,Management;Sales,Sports,Leading teams and projects,Grow professionally in business;Start my own business,Marketing Manager,Business & Marketing,ICOM (Commerce),195000
256,Corporate Law;Policy Analysis;FBR;Negotiation;Research Methods,Debating;International Affairs;Politics,Traveling,Working with government and institutions,Work in government sector;Influence policy making,Economist,Law & Social Sciences,FA (Arts) or FSc,240000
257,Financial Modeling;Corporate Finance;IFRS;Portfolio Management,Investing;Numbers,Managing Personal Budget,Working with numbers and data,Financial independence and high salary,Banker,Finance & Commerce,ICOM (Commerce),135000
258,Wireframing;Interior Design;Prototyping;After Effects;Typography,Digital Media;Colors,Reading Design Books,Freelance and project-based work,Build a recognizable brand,Graphic Designer,Design & Creative,FA (Arts) or ICS,130000
259,Civil Design;Architecture Design;Robotics;CAD,Robotics;Science,Reading Science Magazines,Hands-on practical work,Contribute to national development,Architect,Engineering,FSc Pre-Engineering,215000
260,Contract Law;Litigation;SECP Regulations,Economics;Law;History,Reading News,Research and writing,Work in international law;Work in government sector,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,255000
261,Site Supervision;AutoCAD;Construction Management;Thermodynamics;Robotics,Problem Solving;Electronics;Design,Solving Math Problems,Building and constructing things,Work abroad in engineering,Electrical Engineer,Engineering,FSc Pre-Engineering,125000
262,Environmental Science;Journalism;Climate Analysis;Teaching,Social Work;Research,Gardening;Community Work,Community engagement,Serve the community through education,Agricultural Officer,Education & Media,FA (Arts) or FSc,90000
263,Content Writing;Digital Marketing;Communication,Leadership;Branding;Marketing,Volunteering,Working with people and clients,Become a marketing leader,Supply Chain Manager,Business & Marketing,ICOM (Commerce),185000
264,Pathology;First Aid;Pharmacology;Dentistry;Biology,Community Service;Patient Care;Healthcare,Meditation;Playing Sports,Long shifts with high responsibility,Job stability and security;Help and save lives,Doctor (MBBS),Medical & Health,FSc Pre-Medical,250000
265,Video Editing;Wireframing;Typography,Creativity;Drawing,Painting;Video Editing,Working creatively and freely,Express creativity professionally,Interior Designer,Design & Creative,FA (Arts) or ICS,170000
266,Pathology;Nutrition;Microbiology;Physiology,Biology;Research;Community Service,Cooking Healthy Food;Volunteering at Hospitals,Hands-on practical work,Work in government hospitals,Psychologist,Medical & Health,FSc Pre-Medical,190000
267,MATLAB;Construction Management;Architecture Design,Mathematics;Infrastructure;Science,Scale Modelling,Solving technical problems,High salary in engineering firms,Electrical Engineer,Engineering,FSc Pre-Engineering,160000
268,CA;Portfolio Management;Banking Operations;Stock Market;Excel,Investing;Numbers,Playing Chess;Reading Finance Books,Analyzing financial reports,Work in top accounting firms;Achieve professional certification,Investment Analyst,Finance & Commerce,ICOM (Commerce),165000
269,Sales;Supply Chain;HR Management;Digital Marketing,Marketing;Business,Debating,Communicating with different stakeholders,High salary in management,Business Analyst,Business & Marketing,ICOM (Commerce),115000
270,Chemistry;Counseling;Medical Research,Community Service;Biology,Meditation;Gardening,Working directly with people,Open my own clinic;Specialize in medicine,Nurse,Medical & Health,FSc Pre-Medical,230000
271,Pattern Making;Color Theory;Sketching,Media;Fashion,Watching Design Videos,Using creative tools and software,Collaborate with global clients;Work as a freelance designer,UX/UI Designer,Design & Creative,FA (Arts) or ICS,120000
272,Physiology;Medical Research;Biochemistry;Patient Care,Science;Wellness,First Aid Training,Hands-on practical work,Help and save lives,Psychologist,Medical & Health,FSc Pre-Medical,90000
273,Manufacturing;3D Modeling;Project Management;Urban Planning;Robotics,Construction;Infrastructure;Science,Sketching Structures,Using tools and equipment,Work abroad in engineering,Civil Engineer,Engineering,FSc Pre-Engineering,110000
274,Credit Analysis;CA;Accounting,Finance;Law;Banking,Reading Business News;Managing Personal Budget,Working under strict deadlines,Achieve professional certification;Financial independence and high salary,Chartered Accountant,Finance & Commerce,ICOM (Commerce),105000
275,Accounting;Portfolio Management;IFRS,Stock Market;Law,Business Case Studies,Following rules and regulations,Financial independence and high salary,Financial Analyst,Finance & Commerce,ICOM (Commerce),245000
276,E-commerce;Project Management;Logistics,Social Media;Team Work;Sales,Watching Entrepreneurship Videos,Leading teams and projects,Start my own business,Supply Chain Manager,Business & Marketing,ICOM (Commerce),115000
